Name,Parent,NumDams, NumTributaries
Columbia River,,27,25
Kootenai,Columbia River,4,0
Pend Orielle,Columbia River,3,4
Kettle,Columbia River,0,3
Colville,Columbia River,0,0
Sanpoil,Columbia River,0,0
Methow,Columbia River,0,0
Chelan,Columbia River,0,0
Wenatchee,Columbia River,2,6
Spokane,Columbia River,0,0
Okanogan,Columbia River,2,5,
Yakima,Columbia River,5,8
Snake,Columbia River,20,15
Walla Walla,Columbia River,0,0
Umatilla,Columbia River,0,0
Willow Creek,Columbia River,0,0
John Day,Columbia River,0,0
Deschutes,Columbia River,2,2
Klickitat,Columbia River,0,0
Willamette,Columbia River,13,10
Lewis,Columbia River,0,0
Cowlitz,Columbia River,4,7
